BPM = 0, Timestamp = 0
BPM = 69, Timestamp = 1
BPM = 69, Timestamp = 2
BPM = 69, Timestamp = 3
BPM = 68, Timestamp = 4
BPM = 68, Timestamp = 5
BPM = 69, Timestamp = 6
BPM = 69, Timestamp = 7
BPM = 66, Timestamp = 8
BPM = 68, Timestamp = 9
BPM = 67, Timestamp = 10
BPM = 68, Timestamp = 11
BPM = 68, Timestamp = 12
BPM = 67, Timestamp = 13
BPM = 67, Timestamp = 14
BPM = 67, Timestamp = 15
BPM = 71, Timestamp = 16
BPM = 71, Timestamp = 17
BPM = 72, Timestamp = 18
BPM = 75, Timestamp = 19
BPM = 75, Timestamp = 20
BPM = 76, Timestamp = 21
BPM = 76, Timestamp = 22
BPM = 75, Timestamp = 23
BPM = 72, Timestamp = 24
BPM = 71, Timestamp = 25
BPM = 70, Timestamp = 26
BPM = 69, Timestamp = 27
BPM = 68, Timestamp = 28
BPM = 67, Timestamp = 29
BPM = 68, Timestamp = 30
BPM = 69, Timestamp = 31
BPM = 69, Timestamp = 32
BPM = 69, Timestamp = 33
BPM = 69, Timestamp = 34
BPM = 69, Timestamp = 35
BPM = 69, Timestamp = 36
BPM = 69, Timestamp = 37
BPM = 68, Timestamp = 38
BPM = 67, Timestamp = 39
BPM = 67, Timestamp = 40
BPM = 67, Timestamp = 41
BPM = 67, Timestamp = 42
BPM = 67, Timestamp = 43
BPM = 66, Timestamp = 44
BPM = 66, Timestamp = 45
BPM = 67, Timestamp = 46
Baseline Reading Start
BPM = 68, Timestamp = 47
BPM = 68, Timestamp = 48
BPM = 68, Timestamp = 49
Stress Test Start
BPM = 67, Timestamp = 50
BPM = 67, Timestamp = 51
BPM = 67, Timestamp = 52
Product Test Start
BPM = 67, Timestamp = 53
BPM = 66, Timestamp = 54
BPM = 65, Timestamp = 55
BPM = 65, Timestamp = 56
Product Test End
BPM = 65, Timestamp = 57
BPM = 65, Timestamp = 58
BPM = 66, Timestamp = 59
BPM = 67, Timestamp = 60
BPM = 68, Timestamp = 61
